CODE_UGA;LIB_UGA;color
92CLA;CLAMART;#DC143C
92CLI;CLICHY;#DC143C
92COL;COLOMBES;#DC143C
92COU;COURBEVOIE;#DC143C
92GEN;GENNEVILLIERS;#DC143C
92ISS;ISSY-LES-MOULINEAUX;#DC143C
92LEV;LEVALLOIS-PERRET;#DC143C
92MEU;MEUDON;#DC143C
92MON;MONTROUGE;#DC143C
92NAN;NANTERRE;#DC143C
92NEU;NEUILLY-SUR-SEINE;#DC143C
92RUE;RUEIL-MALMAISON;#DC143C
92SCL;SAINT-CLOUD;#DC143C
93AUB;AUBERVILLIERS;#DC143C
93AUL;AULNAY-SOUS-BOIS;#DC143C
93BOB;BOBIGNY;#DC143C
93BON;BONDY;#DC143C
93EPI;EPINAY-SUR-SEINE;#DC143C
93LBL;LE BLANC-MESNIL;#DC143C
93LIV;LIVRY-GARGAN;#DC143C
93LRA;LE RAINCY;#DC143C
93MON;MONTREUIL;#DC143C
93NOI;NOISY-LE-SEC;#DC143C
93PAN;PANTIN;#DC143C
93ROS;ROSNY-SOUS-BOIS;#DC143C
93SDE;SAINT-DENIS;#DC143C
93SOU;SAINT-OUEN;#DC143C
93STA;STAINS;#DC143C
93TRE;TREMBLAY-EN-FRANCE;#DC143C
94CHA;CHAMPIGNY-SUR-MARNE;#DC143C
94CHO;CHOISY-LE-ROI;#DC143C
94CRE;CRETEIL;#DC143C
94IVR;IVRY-SUR-SEINE;#DC143C
94LHA;L'HAY-LES-ROSES;#DC143C
94MAI;MAISONS-ALFORT;#DC143C
94NOG;NOGENT-SUR-MARNE;#DC143C
94SMA;SAINT-MAUR-DES-FOSSES;#DC143C
94SUC;SUCY-EN-BRIE;#DC143C
94VIL;VILLEJUIF;#DC143C
94VIN;VINCENNES;#DC143C
94VIT;VITRY-SUR-SEINE;#DC143C
94VSG;VILLENEUVE-SAINT-GEORGES;#DC143C
95ARG;ARGENTEUIL;#DC143C
95ERM;ERMONT;#DC143C
95FRA;FRANCONVILLE;#DC143C
95GAR;GARGES-LES-GONESSE;#DC143C
95GOU;GOUSSAINVILLE;#DC143C
95MON;MONTMORENCY;#DC143C
95PER;PERSAN;#DC143C
95PON;PONTOISE;#DC143C
95SAR;SARCELLES;#DC143C
95TAV;TAVERNY;#DC143C
